title,link,original,sale,discount,currency,date,time
Call to Arms,https://store.steampowered.com/app/302670/Call_to_Arms/?snr=1_7_7_2300_150_2,17.99,8.99,50,CDN,2020-04-27,23:33
Deep Sky Derelicts,https://store.steampowered.com/app/698640/Deep_Sky_Derelicts/?snr=1_7_7_2300_150_3,22.79,7.74,66,CDN,2020-04-27,23:33
Cooking Simulator,https://store.steampowered.com/app/641320/Cooking_Simulator/?snr=1_7_7_2300_150_3,22.79,15.95,30,CDN,2020-04-27,23:33
Baldur's Gate II: Enhanced Edition,https://store.steampowered.com/app/257350/Baldurs_Gate_II_Enhanced_Edition/?snr=1_7_7_2300_150_3,21.99,10.99,50,CDN,2020-04-27,23:33
Expeditions: Viking,https://store.steampowered.com/app/445190/Expeditions_Viking/?snr=1_7_7_2300_150_3,32.99,13.19,60,CDN,2020-04-27,23:33
Yes\, Your Grace,https://store.steampowered.com/app/1115690/Yes_Your_Grace/?snr=1_7_7_2300_150_3,22.79,20.51,10,CDN,2020-04-27,23:33
911 Operator,https://store.steampowered.com/app/503560/911_Operator/?snr=1_7_7_2300_150_3,16.99,1.69,90,CDN,2020-04-27,23:33
Trailmakers,https://store.steampowered.com/app/585420/Trailmakers/?snr=1_7_7_2300_150_3,28.99,14.49,50,CDN,2020-04-27,23:33
Filament,https://store.steampowered.com/app/1137350/Filament/?snr=1_7_7_2300_150_3,19.49,16.56,15,CDN,2020-04-27,23:33
The House of Da Vinci,https://store.steampowered.com/app/522470/The_House_of_Da_Vinci/?snr=1_7_7_2300_150_3,23.99,9.59,60,CDN,2020-04-27,23:33
Sins of a Solar Empire: Rebellion®,https://store.steampowered.com/app/204880/Sins_of_a_Solar_Empire_Rebellion/?snr=1_7_7_2300_150_3,45.49,15.01,67,CDN,2020-04-27,23:33
Undead Horde,https://store.steampowered.com/app/790850/Undead_Horde/?snr=1_7_7_2300_150_3,19.49,8.77,55,CDN,2020-04-27,23:33
DARQ,https://store.steampowered.com/app/433550/DARQ/?snr=1_7_7_2300_150_3,22.79,13.67,40,CDN,2020-04-27,23:33
SUNLESS SEA,https://store.steampowered.com/app/304650/SUNLESS_SEA/?snr=1_7_7_2300_150_3,20.99,7.13,66,CDN,2020-04-27,23:33
Judgment: Apocalypse Survival Simulation,https://store.steampowered.com/app/455980/Judgment_Apocalypse_Survival_Simulation/?snr=1_7_7_2300_150_3,22.79,11.39,50,CDN,2020-04-27,23:33
Unheard,https://store.steampowered.com/app/942970/Unheard/?snr=1_7_7_2300_150_3,11.49,6.89,40,CDN,2020-04-27,23:33
SpongeBob SquarePants: Battle for Bikini Bottom - Rehydrated,https://store.steampowered.com/app/969990/SpongeBob_SquarePants_Battle_for_Bikini_Bottom__Rehydrated/?snr=1_7_7_2300_150_3,29.99,26.99,10,CDN,2020-04-27,23:33
Chef: A Restaurant Tycoon Game,https://store.steampowered.com/app/886900/Chef_A_Restaurant_Tycoon_Game/?snr=1_7_7_2300_150_3,22.79,15.95,30,CDN,2020-04-27,23:33
Night in the Woods,https://store.steampowered.com/app/481510/Night_in_the_Woods/?snr=1_7_7_2300_150_3,21.99,17.59,20,CDN,2020-04-27,23:33
Hypnospace Outlaw,https://store.steampowered.com/app/844590/Hypnospace_Outlaw/?snr=1_7_7_2300_150_3,22.79,17.09,25,CDN,2020-04-27,23:33
Warhammer Underworlds: Online,https://store.steampowered.com/app/1022310/Warhammer_Underworlds_Online/?snr=1_7_7_2300_150_3,33.99,27.19,20,CDN,2020-04-27,23:33
Tales from Candlekeep: Tomb of Annihilation,https://store.steampowered.com/app/663380/Tales_from_Candlekeep_Tomb_of_Annihilation/?snr=1_7_7_2300_150_3,17.99,5.39,70,CDN,2020-04-27,23:33
Ultimate Fishing Simulator VR,https://store.steampowered.com/app/1024010/Ultimate_Fishing_Simulator_VR/?snr=1_7_7_2300_150_3,33.99,18.69,45,CDN,2020-04-27,23:33
Heaven's Vault,https://store.steampowered.com/app/774201/Heavens_Vault/?snr=1_7_7_2300_150_3,28.99,17.39,40,CDN,2020-04-27,23:33
Do Not Feed the Monkeys,https://store.steampowered.com/app/658850/Do_Not_Feed_the_Monkeys/?snr=1_7_7_2300_150_3,12.99,4.54,65,CDN,2020-04-27,23:33
The White Door,https://store.steampowered.com/app/1145960/The_White_Door/?snr=1_7_7_2300_150_3,4.65,2.32,50,CDN,2020-04-27,23:33
BlazBlue: Chronophantasma Extend,https://store.steampowered.com/app/388750/BlazBlue_Chronophantasma_Extend/?snr=1_7_7_2300_150_4,32.99,4.94,85,CDN,2020-04-27,23:33
Little Big Workshop,https://store.steampowered.com/app/574720/Little_Big_Workshop/?snr=1_7_7_2300_150_4,22.79,17.09,25,CDN,2020-04-27,23:33
MO:Astray,https://store.steampowered.com/app/1104660/MOAstray/?snr=1_7_7_2300_150_4,17.49,13.99,20,CDN,2020-04-27,23:33
Jupiter Hell,https://store.steampowered.com/app/811320/Jupiter_Hell/?snr=1_7_7_2300_150_4,28.99,23.19,20,CDN,2020-04-27,23:33
Harvest Moon: Light of Hope Special Edition,https://store.steampowered.com/app/585900/Harvest_Moon_Light_of_Hope_Special_Edition/?snr=1_7_7_2300_150_4,22.79,11.39,50,CDN,2020-04-27,23:33
Borderlands 2 VR,https://store.steampowered.com/app/991260/Borderlands_2_VR/?snr=1_7_7_2300_150_4,66.99,33.49,50,CDN,2020-04-27,23:33
Hacknet,https://store.steampowered.com/app/365450/Hacknet/?snr=1_7_7_2300_150_4,11.49,1.72,85,CDN,2020-04-27,23:33
Ultimate Fishing Simulator,https://store.steampowered.com/app/468920/Ultimate_Fishing_Simulator/?snr=1_7_7_2300_150_4,21.99,10.99,50,CDN,2020-04-27,23:33
Gibbous -  A Cthulhu Adventure,https://store.steampowered.com/app/914020/Gibbous___A_Cthulhu_Adventure/?snr=1_7_7_2300_150_4,22.79,15.95,30,CDN,2020-04-27,23:33
TrackMania² Stadium,https://store.steampowered.com/app/232910/TrackMania_Stadium/?snr=1_7_7_2300_150_4,9.99,4.99,50,CDN,2020-04-27,23:33
A Short Hike,https://store.steampowered.com/app/1055540/A_Short_Hike/?snr=1_7_7_2300_150_4,8.99,6.74,25,CDN,2020-04-27,23:33
Beholder 2,https://store.steampowered.com/app/761620/Beholder_2/?snr=1_7_7_2300_150_4,16.99,5.94,65,CDN,2020-04-27,23:33
Gremlins\, Inc.,https://store.steampowered.com/app/369990/Gremlins_Inc/?snr=1_7_7_2300_150_4,19.99,6.99,65,CDN,2020-04-27,23:33
Super Animal Royale,https://store.steampowered.com/app/843380/Super_Animal_Royale/?snr=1_7_7_2300_150_4,14.49,10.86,25,CDN,2020-04-27,23:33
Moon Hunters,https://store.steampowered.com/app/320040/Moon_Hunters/?snr=1_7_7_2300_150_4,14.99,2.24,85,CDN,2020-04-27,23:33
Death and Taxes,https://store.steampowered.com/app/1166290/Death_and_Taxes/?snr=1_7_7_2300_150_4,14.49,10.86,25,CDN,2020-04-27,23:33
